Rx rate: 819837.162837   TxExt rate: 819837.162837   TxInt rate: 819837.162837
Rx rate: 819924.075924   TxExt rate: 819924.075924   TxInt rate: 819924.075924
Rx rate: 817434.565435   TxExt rate: 817434.565435   TxInt rate: 817434.565435
Rx rate: 817495.504496   TxExt rate: 817495.504496   TxInt rate: 817495.504496
Rx rate: 819796.203796   TxExt rate: 819796.203796   TxInt rate: 819796.203796
Rx rate: 819982.017982   TxExt rate: 819982.017982   TxInt rate: 819982.017982
Rx rate: 819939.060939   TxExt rate: 819939.060939   TxInt rate: 819939.060939
Rx rate: 819970.02997   TxExt rate: 819970.02997   TxInt rate: 819970.02997
Rx rate: 819866.133866   TxExt rate: 819866.133866   TxInt rate: 819866.133866
Rx rate: 819773.226773   TxExt rate: 819773.226773   TxInt rate: 819773.226773
Rx rate: 819741.258741   TxExt rate: 819741.258741   TxInt rate: 819741.258741
Rx rate: 819730.26973   TxExt rate: 819730.26973   TxInt rate: 819730.26973
Rx rate: 817758.241758   TxExt rate: 817758.241758   TxInt rate: 817758.241758
Rx rate: 817363.636364   TxExt rate: 817363.636364   TxInt rate: 817363.636364
Rx rate: 819939.060939   TxExt rate: 819939.060939   TxInt rate: 819939.060939
Rx rate: 819663.336663   TxExt rate: 819663.336663   TxInt rate: 819663.336663
Rx rate: 819610.38961   TxExt rate: 819610.38961   TxInt rate: 819610.38961
Rx rate: 819885.114885   TxExt rate: 819885.114885   TxInt rate: 819885.114885
Rx rate: 819040.918164   TxExt rate: 819040.918164   TxInt rate: 819040.918164
Rx rate: 819689.310689   TxExt rate: 819689.310689   TxInt rate: 819689.310689
Rx rate: 819712.287712   TxExt rate: 819712.287712   TxInt rate: 819712.287712
Rx rate: 819922.077922   TxExt rate: 819922.077922   TxInt rate: 819922.077922
Rx rate: 817881.118881   TxExt rate: 817881.118881   TxInt rate: 817881.118881
Rx rate: 817275.724276   TxExt rate: 817275.724276   TxInt rate: 817275.724276
Rx rate: 819713.286713   TxExt rate: 819713.286713   TxInt rate: 819713.286713
Rx rate: 819684.315684   TxExt rate: 819684.315684   TxInt rate: 819684.315684
Rx rate: 819734.265734   TxExt rate: 819734.265734   TxInt rate: 819734.265734
Rx rate: 819792.207792   TxExt rate: 819792.207792   TxInt rate: 819792.207792
Rx rate: 819829.170829   TxExt rate: 819829.170829   TxInt rate: 819829.170829
Rx rate: 819770.22977   TxExt rate: 819770.22977   TxInt rate: 819770.22977
Rx rate: 819700.2997   TxExt rate: 819700.2997   TxInt rate: 819700.2997
Rx rate: 819786.213786   TxExt rate: 819786.213786   TxInt rate: 819786.213786
Rx rate: 817915.084915   TxExt rate: 817915.084915   TxInt rate: 817915.084915
Rx rate: 817243.756244   TxExt rate: 817243.756244   TxInt rate: 817243.756244
Rx rate: 819829.170829   TxExt rate: 819829.170829   TxInt rate: 819829.170829
Rx rate: 818930.139721   TxExt rate: 818930.139721   TxInt rate: 818930.139721
Rx rate: 819679.320679   TxExt rate: 819679.320679   TxInt rate: 819679.320679
Rx rate: 819674.325674   TxExt rate: 819674.325674   TxInt rate: 819674.325674
Rx rate: 819728.271728   TxExt rate: 819728.271728   TxInt rate: 819728.271728
Rx rate: 818984.015984   TxExt rate: 818984.015984   TxInt rate: 818984.015984
Rx rate: 819751.248751   TxExt rate: 819751.248751   TxInt rate: 819751.248751
